"hgnc_symbol","ensembl_gene_id","ensembl_transcript_id","A375_vitro_vehicle_rep1","A375_vitro_vehicle_rep2","A375_vitro_vehicle_rep3","A375_vitro_vem_6h_rep1","A375_vitro_vem_6h_rep2","A375_vitro_vem_6h_rep3","A375_vitro_vem_48h_rep1","A375_vitro_vem_48h_rep2","A375_vitro_vem_48h_rep3","A375_vivo_vehicle_rep1","A375_vivo_vehicle_rep2","A375_vivo_vehicle_rep3","A375_vivo_vehicle_rep4","A375_vivo_vem_rep1","A375_vivo_vem_rep2","A375_vivo_vem_rep3","A375_vivo_vem_rep4","Colo800_vitro_vehicle_rep1","Colo800_vitro_vehicle_rep2","Colo800_vitro_vem_48h_rep1","Colo800_vitro_vem_48h_rep2","H3122_vitro_vehicle_rep1","H3122_vitro_vehicle_rep2","H3122_vitro_crizotinib_48h_rep1","H3122_vitro_crizotinib_48h_rep2","UACC62_vitro_vehicle_rep1","UACC62_vitro_vehicle_rep2","UACC62_vitro_vem_48h_rep1","UACC62_vitro_vem_48h_rep2","A375R_RPL10a_vivo__Ronly_vehicle_rep1","A375R_RPL10a_vivo__Ronly_vehicle_rep2","A375R_RPL10a_vivo__Ronly_vehicle_rep3","A375R_RPL10a_vivo__SR_vehicle_rep1","A375R_RPL10a_vivo__SR_vehicle_rep2","A375R_RPL10a_vivo__SR_vehicle_rep3","A375R_RPL10a_vivo__Ronly_vem10d_rep1","A375R_RPL10a_vivo__Ronly_vem10d_rep2","A375R_RPL10a_vivo__Ronly_vem10d_rep3","A375R_RPL10a_vivo__SR_vem10d_rep1","A375R_RPL10a_vivo__SR_vem10d_rep2","A375R_RPL10a_vivo__SR_vem10d_rep3"
"LOC100289230",NA,NA,33.5865284067627,37.9615747992756,28.2275331001349,43.2365391322469,55.7311518793371,29.687505273603,54.585017590668,47.5012995357071,41.962285281446,139.502391060664,128.400278648751,158.785513438493,212.504014708314,198.827468958638,216.248621808215,209.562362206698,194.915066985337,7.0364489764619,12.1832829518344,18.2266641539487,17.2563441218075,5.90180688536186,10.7633024689691,16.1109837282431,26.6704150509472,22.1784049216843,28.8707270014289,35.1994038389499,21.9796650588816,148.7981639,165.8632556,147.7534972,185.7708466,139.753,157.4575339,95.74624681,120.4702216,165.0086116,120.1207899,138.063111,139.9863799
"LOC100289255",NA,NA,0,0,0,0,0.844411392111168,0,0,0,0,0,0,0,1.45550695005694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC100289341",NA,NA,40.933581495742,22.7769448795653,32.9321219501574,41.271241898963,51.5090949187813,51.3822206658513,122.402766718468,89.8394143392722,73.9861345751811,94.6050697997608,93.951423401525,67.178486454747,66.9533197026194,274.523205871825,277.163726542923,222.905284144952,239.301666397839,16.0833119461986,10.1527357931953,23.2896264189344,21.091087259987,35.4108413121712,42.074727833243,56.3884430488509,49.2376893248256,67.4593149701231,75.2701096822968,64.1871481769087,44.9584058022579,74.95847356,93.60599573,63.15270443,72.8513124,99.14101706,117.8732377,135.8978987,153.1559407,121.9628868,131.4835673,128.8589036,123.5173941
"LOC100289361",NA,NA,7.34705308897933,17.3538627653831,11.291013240054,14.7397292496296,13.5105822737787,23.9783696440639,26.4654630742633,13.4242803035694,18.7726013101206,8.0173787965899,20.3561417369971,10.687486481437,24.743618150968,34.3154007339781,26.3965453850403,23.5463328322133,32.1642024728279,30.1562098991224,20.3054715863907,38.4785132138917,32.5953166745253,7.86907584714915,8.80633838370201,8.05549186412156,8.2062815541376,55.4460123042107,55.6792592170415,75.5751905953924,70.934373599118,58.17672575,64.04620761,75.06830904,51.90656008,52.55668374,50.14010857,82.61974523,48.56163972,40.65429561,64.11852972,55.22524439,63.13111252
"LOC100289473",NA,NA,1.04957901271133,0,0,0.982648616641976,0,0,0,0,1.10427066530121,0,0,0.508927927687478,0,0,1.01525174557847,0.784877761073775,0.643284049456558,0,0,0,0.958685784544863,0.983634480893644,0.978482042633557,0,0,0.924100205070179,0,0,0,0,0,0,0.910641405,0,0,0,0,0,0,0,0
"LOC100289495",NA,NA,4.19831605084533,4.33846569134578,8.46825993004047,1.96529723328395,7.59970252900051,4.56730850363122,22.3302344689097,16.5221911428547,9.93843598771089,11.2243303152259,20.3561417369971,16.7946216136868,5.82202780022777,62.5751425149012,34.5185593496681,54.9414432751643,52.7492920554377,24.1249679192979,31.4734809589056,45.5666603848717,23.9671446136216,42.2962826784267,38.1607996627087,83.5757280902612,59.4955412674976,8.31690184563161,9.27987653617357,19.670255086472,19.9815136898924,39.15741156,25.454262,34.55525337,20.03411091,32.2506923,23.75057775,19.30367879,20.54530911,31.08857899,23.5371818,27.6126222,35.68280273
"LOC100289509",NA,NA,4.19831605084533,9.761547805528,6.58642439003147,5.89589169985185,5.91087974477818,4.56730850363122,9.92454865284873,7.22845862499891,12.1469773183133,22.4486606304517,17.2244276236129,10.1785585537496,11.6440556004555,31.2875712574506,27.4117971306188,29.8253549208035,33.450770571741,14.0728979529238,22.3360187450298,15.1888867949572,9.58685784544863,2.95090344268093,5.87089225580134,7.04855538110636,7.1804963598704,9.24100205070179,9.27987653617357,8.28221266798821,4.9953784224731,31.32592925,13.13768361,22.63964876,8.195772645,13.13917094,6.157557193,14.67079588,15.87592068,16.74000407,11.36277742,8.053681474,15.55404222
"LOC100289511",NA,NA,227.758645758359,377.446515147083,348.139574901664,214.217398427951,409.539525173917,377.944778675484,170.37141854057,392.402039642798,341.219635578074,251.745694212923,223.917559106968,218.330080977928,202.315466057915,162.493515240308,248.736677666726,169.533596391936,245.734506892405,211.093469293857,211.176904498463,209.60663777041,229.125902506222,410.175578532649,460.865042080405,535.690208964083,496.480034025325,225.480450037124,214.4682577249,251.572209790142,224.792029011289,4.47513275,7.389947032,1.191560461,4.553207025,4.77788034,5.277906166,3.088588607,8.404899183,2.391429153,4.058134793,3.451577775,6.404605618
"LOC100289561",NA,NA,5.24789506355667,2.16923284567289,2.82275331001349,1.96529723328395,0.844411392111168,1.14182712590781,3.30818288428291,0,4.41708266120484,3.20695151863596,3.13171411338417,4.07142342149982,4.36652085017083,4.03710596870331,7.10676221904931,2.35463328322133,3.21642024728279,4.02082798654966,3.0458207379586,6.07555471798289,9.58685784544863,0.983634480893644,0,2.01387296603039,1.0257851942672,1.84820041014036,4.1243895716327,4.14110633399411,2.99722705348386,41.39497794,21.34873587,50.04553936,28.22988355,31.05622221,40.46394727,40.15165189,28.9502083,31.08857899,19.479047,34.51577775,32.02302809
"LOC100289650",NA,NA,0,0,0,0,0,0,0,0,1.10427066530121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.118783187,0,0,0,0,0,0,0,0,0,0,0
"LOC100289656",NA,NA,1.04957901271133,0,0,1.96529723328395,0,0,0.827045721070728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC100289673",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0.508927927687478,0,0,0,0,0.643284049456558,0,1.01527357931953,0,0,0,0,0,2.0515703885344,0,0,0,0,0,0,2.383120922,0,0,0.879651028,0,0,0,0,0,0
"LOC100292680",NA,NA,1.04957901271133,1.08461642283644,0,0.982648616641976,0.844411392111168,2.28365425181561,0,2.06527389285683,0,1.60347575931798,3.13171411338417,4.07142342149982,7.27753475028472,8.07421193740661,4.06100698231389,7.06389984966398,7.71940859347869,4.02082798654966,3.0458207379586,4.0503698119886,2.87605735363459,13.770882732511,13.6987485968698,83.5757280902612,69.7533932101696,4.62050102535089,1.03109739290818,2.07055316699705,8.99168116045157,2.237566375,4.926631354,3.574681383,0,2.38894017,1.759302055,2.316441455,5.603266122,9.565716614,1.623253917,5.752629624,7.319549278
"LOC100293534",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC100294145",NA,NA,164.783904995679,141.000134968738,151.487760970724,253.52334309363,194.214620185569,188.401475774788,251.421899205501,160.058726696405,168.953411791085,218.072703267245,234.878558503812,214.258657556428,192.126917407516,320.949924511913,291.377250981022,288.835016075149,241.231518546209,462.395218453211,468.041120066305,497.1828944216,533.029296206944,359.02658552618,318.98514589854,420.899449900351,428.77821120369,232.873251677685,235.090205583064,303.336038965068,280.740267342988,304.309027,276.7124611,386.0655894,327.8309058,302.2009315,372.0923847,381.4406929,288.5682053,321.6472211,347.3763383,317.5451553,299.1865767
