H3122_vitro_vehicle_rep1	H3122_vitro_vehicle_rep2	H3122_vitro_crizotinib_48h_rep1	H3122_vitro_crizotinib_48h_rep2
ABCF3	729.856784823084	759.30206508364	741.105251499183	715.998065598506
ABCG1	42.2962826784267	64.5798148138148	158.089027833386	172.33191263689
ABCG2	51.1489930064695	52.8380303022121	41.284395803623	48.2119041305584
ABCG4	0	0	0	1.0257851942672
ABCG5	0	0	1.00693648301519	0
ABCG8	0	0	1.00693648301519	1.0257851942672
ABHD1	32.4599378694902	52.8380303022121	39.2705228375926	35.902481799352
ABHD10	570.507998918313	646.776630180781	603.154953326102	578.542849566701
ABHD11	532.146254163461	593.938599878569	396.732974307987	363.127958770589
ABHD11-AS1	3.93453792357457	3.91392817053423	6.04161889809117	4.1031407770688
ABHD12	703.298653838955	734.840014017801	918.326072509857	852.427496436043
ABHD12B	0.983634480893644	0	0	2.0515703885344
ABHD13	574.442536841888	522.50941076632	537.704081930114	591.878057092174
ABHD14A	69.8380481434487	90.0203479222873	108.749140165641	99.5011638439184
ABHD14A-ACY1	0	0	0	0
ABHD14B	307.87759251971	328.769966324875	619.265937054345	609.316405394717
ABHD15	352.141144159924	366.930765987584	479.301765915233	434.932922369293
ABHD16A	585.262516131718	584.153779452234	619.265937054345	618.548472143122
ABHD16B	74.7562205479169	108.611506732325	83.5757280902612	65.6502524331008
ABHD2	4696.85464626715	3938.39022160007	10325.1266968378	11058.9901793947
ABHD3	435.750075035884	442.273883270368	455.135290322868	494.42846363679
ABHD4	914.780067231089	796.484382703716	1350.30182372338	1207.34917365249
ABHD5	527.228081758993	578.282887196432	379.615054096728	391.84994421007
ABHD6	28.5253999459157	24.4620510658389	42.2913322866382	31.7993410222832
ABHD8	177.054206560856	218.201495507283	137.950298173082	162.074060694218
ABI1	786.907584714915	741.689388316236	677.668253069226	635.986820445664
ABI2	1069.21068073139	973.589632420389	1068.35960847912	1024.75940907293
ABI3	1.96726896178729	0.978482042633557	0	0
ABI3BP	2.95090344268093	3.91392817053423	6.04161889809117	8.2062815541376
ABL1	1445.94268691366	1309.2089730437	1503.35616914169	1525.34258387533
ABL2	451.488226730182	332.683894495409	322.219674564862	341.586469690978
ABLIM1	1934.8090239178	1632.10804711277	7507.71841736129	7859.56615847529
ABLIM2	11.8036137707237	8.80633838370201	18.1248566942735	20.515703885344
ABLIM3	32.4599378694902	32.2899074069074	55.3815065658357	46.160333742024
ABO	133.774289401536	90.0203479222873	132.915615758006	178.486623802493
ABP1	17.7054206560856	17.612676767404	79.5479821582004	88.2175267069792
ABR	2451.21712638696	2413.91519917699	1998.76891878516	2085.42129994522
ABRA	0	0	0	0
ABT1	454.439130172863	477.499236805176	393.712164858941	352.870106827917
ABTB1	125.905213554386	132.09507575553	273.886723380133	291.322995171885
ABTB2	478.046357714311	453.037185739337	196.352614187963	221.569601961715
ACAA1	612.80428159674	664.389306948185	724.99426777094	679.069798604887
ACAA2	489.849971485035	562.627174514295	429.961878247488	441.087633534896
ACACA	3523.37871056103	3041.1221885051	2454.91114559104	2806.54829151506
ACACB	57.0507998918313	55.7734764301128	82.568791607246	110.784800980858
ACAD10	357.059316564393	375.737104371286	609.196572224193	584.697560732304
ACAD11	18.6890551369792	18.5911588100376	32.2219674564862	33.8509114108176
ACAD8	366.895661373329	409.983975863461	458.156099771914	438.010277952094
ACAD9	1022.97986012939	1147.75943600916	954.575785898404	998.088994021986
ACADL	6.88544136625551	12.7202665542362	31.215030973471	21.5414890796112
ACADM	1334.79199057267	1343.45584453587	1408.70413973826	1264.79314453146
ACADS	113.117965302769	99.8051683486228	168.158392663537	186.69290535663
ACADSB	196.726896178729	192.760962398811	262.810422066966	288.245639589083
ACADVL	2842.70364978263	3099.83111106311	2761.01983642766	2495.7353776521
ACAN	0	0	0	0
ACAP1	5.90180688536186	9.78482042633557	2.01387296603039	9.2320667484048
