UACC62_vitro_vehicle_rep1	UACC62_vitro_vehicle_rep2	UACC62_vitro_vem_48h_rep1	UACC62_vitro_vem_48h_rep2
ACSS3	1.84820041014036	2.06219478581635	0	0.999075684494619
ACTA1	1.84820041014036	1.03109739290818	2.07055316699705	4.9953784224731
ACTA2	321.586871364422	370.163964054035	870.667606722261	782.276260959287
ACTB	27797.8582687161	26664.1785806054	28009.4079665526	26105.8476358444
ACTBL2	18.4820041014036	17.528655679439	8.28221266798821	10.9898325294408
ACTC1	0	0	0	0
ACTG1	29544.4076562987	29100.6617200474	32227.1247677256	29694.5274945491
ACTG2	2.77230061521054	0	3.10582975049558	7.99260547595695
ACTL10	59.1424131244915	50.5237722525006	44.5168930904366	31.9704219038278
ACTL6A	1400.01181068132	1384.76379867568	684.317821692526	679.371465456341
ACTL6B	0	1.03109739290818	2.07055316699705	0
ACTL7A	0	0	0	0
ACTL7B	0	0	0	0
ACTL8	23.1025051267545	28.8707270014289	6.21165950099116	0
ACTL9	0	0	0	0
ACTN1	4615.88052432554	4355.35538764413	910.008116895205	1112.97031252701
ACTN2	120.133026659123	164.975582865308	65.2224247604072	36.9658003263009
ACTN3	1.84820041014036	0	3.10582975049558	0
ACTN4	8072.93939149308	7919.85907492769	4193.90543975253	4529.8091534986
