A375_vivo_vehicle_rep1	A375_vivo_vehicle_rep2	A375_vivo_vehicle_rep3	A375_vivo_vehicle_rep4	A375_vivo_vem_rep1	A375_vivo_vem_rep2	A375_vivo_vem_rep3	A375_vivo_vem_rep4
ABCB5	0	0	0	0	0	0	0	0
ABCB6	160.347575931798	178.507704462897	187.794405316679	213.959521658371	201.855298435165	201.019845624538	211.916995489919	221.289713013056
ABCB7	323.902103382232	283.420127261267	269.731801674363	369.698765314464	476.37850430699	450.771775036842	409.706191280511	422.637620492958
ABCB8	177.985809284296	203.561417369971	190.847972882804	222.692563358712	189.743980529055	200.004593878959	200.928706834887	203.921043677729
ABCB9	282.211733639965	288.117698431343	296.704981841799	296.923417811616	731.725456827474	588.846012435514	584.733931999963	522.989932208181
ABCC1	383.230706476997	385.200835946252	410.704837643794	497.783376919475	205.892404403869	253.812936394618	239.387717127502	240.588234496753
ABCC10	205.244897192701	189.468703859742	181.178342256742	174.660834006833	165.521344716836	189.852076423174	185.231151613411	197.488203183163
ABCC11	3.20695151863596	7.82928528346042	4.07142342149982	4.36652085017083	5.04638246087913	5.07625872789236	3.1395110442951	4.5029883461959
ABCC12	0	0	0.508927927687478	1.45550695005694	0	0	0	0
ABCC13	0	0	0	0	0	0	0	0
ABCC2	84.9842152438529	87.6879951747567	74.8124053700592	84.4194031033027	85.7885018349453	78.1743844095424	76.91802058523	64.9716889951123
ABCC3	51.3112242981754	64.2001393243754	80.4106125746215	81.5083892031888	50.4638246087913	38.579566331982	29.8253549208035	37.3104748684803
ABCC4	391.248085273587	372.673979492716	420.883396197544	410.452959916058	139.280155920264	189.852076423174	146.772141320796	139.592638732073
ABCC5	304.660394270416	230.180987333736	263.115738614426	288.190376111275	282.597417809231	303.560271927963	293.544282641592	288.834538205994
ABCC6	16.0347575931798	18.790284680305	11.705342336812	16.0105764506264	18.1669768591649	22.3355384027264	17.2673107436231	21.871657681523
ABCC6P1	1.60347575931798	1.56585705669208	3.05356756612487	1.45550695005694	5.04638246087913	4.06100698231389	5.49414432751643	8.36269264293525
ABCC6P2	17.6382333524978	18.790284680305	17.8124774690617	21.8326042508541	11.1020414139341	14.2135244380986	7.84877761073775	12.8656809891312
ABCC8	0	0	0	0	1.00927649217583	2.03050349115695	3.1395110442951	0.643284049456558
ABCC9	0	0	0	0	1.00927649217583	0	0.784877761073775	0
ABCD1	179.589285043614	203.561417369971	166.928360281493	176.11634095689	218.003722309979	227.416391009578	234.678450561059	246.377790941862
ABCD2	0	0	0.508927927687478	2.91101390011389	0	1.01525174557847	0	0
ABCD3	392.851561032905	386.766693002945	376.097738561046	366.78775141435	334.070518910199	354.322859206887	311.596471146289	355.736079349476
ABCD4	331.919482178822	346.05440952895	422.919107908294	340.588626313325	415.821914776441	431.481991870851	482.699823060372	442.579426026112
ABCE1	998.965398055102	1171.26107840568	1038.72190041014	1146.93947664487	820.541788138947	688.340683502205	616.129042442914	604.043722439708
ABCF1	846.635200919894	933.250805788482	1040.2486841932	1072.70862219197	688.326567663914	602.044285128034	679.70414108989	649.716889951123
ABCF2	784.099646306492	848.694524727109	821.918603215276	851.471565783312	760.994475100573	688.340683502205	698.54120735566	705.039318204387
ABCF3	221.279654785881	227.049273220352	229.526495387052	227.059084208883	237.179975661319	202.035097370116	268.428194287231	241.874802595666
ABCG1	30.4660394270416	29.7512840771496	17.8124774690617	26.199125101025	34.3154007339781	38.579566331982	53.3716877530167	38.5970429673935
ABCG2	4.81042727795394	3.13171411338417	3.56249549381234	2.91101390011389	3.02782947652748	9.13726571020626	3.92438880536888	2.57313619782623
