id	A375R_RPL10a_vivo__Ronly_vehicle_rep1	A375R_RPL10a_vivo__Ronly_vehicle_rep2	A375R_RPL10a_vivo__Ronly_vehicle_rep3	A375R_RPL10a_vivo__SR_vehicle_rep1	A375R_RPL10a_vivo__SR_vehicle_rep2	A375R_RPL10a_vivo__SR_vehicle_rep3	A375R_RPL10a_vivo__Ronly_vem10d_rep1	A375R_RPL10a_vivo__Ronly_vem10d_rep2	A375R_RPL10a_vivo__Ronly_vem10d_rep3	A375R_RPL10a_vivo__SR_vem10d_rep1	A375R_RPL10a_vivo__SR_vem10d_rep2	A375R_RPL10a_vivo__SR_vem10d_rep3
62	ABCC13	2.237566375	5.74773658	1.191560461	0.910641405	0	3.51860411	2.316441455	3.735510748	2.391429153	6.493015668	1.150525925	1.82988732
63	ABCC2	74.95847356	33.66531426	53.62022074	123.8472311	52.55668374	99.40056612	79.53115663	61.63592734	44.24143934	55.19063318	72.48313327	46.66212665
64	ABCC3	134.2539825	103.4592584	127.4969693	160.2728873	69.27926493	117.8732377	105.7841598	149.4204299	143.4857492	142.8463447	157.6220517	187.5634502
65	ABCC4	589.5987398	543.5716594	530.2444051	591.0062718	605.5963331	451.2609772	647.8314603	691.0694883	630.1415819	511.3249839	551.101918	512.3684495
66	ABCC5	371.4360182	389.203877	367.000622	327.8309058	342.8129144	280.6086778	278.7451218	343.6669888	398.1729541	358.7391157	278.4272738	327.5498302
67	ABCC6	0	1.642210451	8.340923227	1.82128281	0	4.398255138	0	0	2.391429153	4.869761751	0	3.659774639
68	ABCC6P1	1.118783187	0.821105226	0	1.82128281	2.38894017	1.759302055	0	0	0	0.811626959	1.150525925	0
69	ABCC6P2	5.593915937	4.105526129	4.766241844	0.910641405	5.972350425	6.157557193	2.316441455	4.669388435	2.391429153	4.869761751	3.451577775	10.06438026
70	ABCC8	0	0	0	0	0	0	0	0	0	0.811626959	0	0
71	ABCC9	318.8532084	433.5435592	371.7668638	530.9039391	391.7861879	480.2894611	443.9846122	314.7167805	346.7572273	357.1158618	375.0714515	284.5474782
72	ABCD1	166.6986949	159.2944138	187.0749924	203.9836747	124.2248888	181.2081117	145.9358117	134.4783869	135.1157472	198.8486048	131.1599554	196.7128868
73	ABCD2	1.118783187	0.821105226	2.383120922	1.82128281	0	1.759302055	0	0	1.195714577	1.623253917	0	1.82988732
