A375_vitro_vehicle_rep1	A375_vitro_vehicle_rep2	A375_vitro_vehicle_rep3	A375_vitro_vem_6h_rep1	A375_vitro_vem_6h_rep2	A375_vitro_vem_6h_rep3	A375_vitro_vem_48h_rep1	A375_vitro_vem_48h_rep2	A375_vitro_vem_48h_rep3
ABCB10	831.266578067376	735.369934683109	739.561367223534	1022.9372099243	851.166683248057	807.271778016819	737.724783195089	653.659187089187	742.069887082413
ABCB11	0	0	0	0	0	0	0	0	0
ABCB4	104.957901271133	134.492436431719	84.6825993004047	107.108699213975	97.1073100927843	53.6658749176669	677.350445556926	380.010396285657	336.802552916869
ABCB5	0	0	0	0	0.844411392111168	1.14182712590781	4.96227432642437	57.8276689999913	51.9007212691569
ABCB6	565.723087851409	559.662074183605	552.318730992639	626.92981741758	689.884107354824	919.170836355784	469.761969568173	552.460766339203	692.377707143859
ABCB7	306.477071711709	381.784980838428	342.494068281637	329.187286575062	363.941309999913	341.406310646434	397.80899183502	375.879848499943	382.077650194219
ABCB8	371.550970499812	327.554159696606	454.463282912172	371.441177090667	429.805398584585	447.59623335586	343.223974244352	448.164434749933	468.210762087713
ABCB9	420.881184097245	319.961844736751	687.810889873287	372.423825707309	544.645347911703	807.271778016819	511.11425562171	539.036486035633	657.04104585422
ABCC1	629.7474076268	988.085561204001	749.911462693584	654.443978683556	574.199746635594	753.605903099152	617.803153639834	732.139595017747	717.775932445786
ABCC10	244.551909961741	271.154105709111	279.452577691335	322.308746258568	260.07870877024	374.51929729776	438.334232167486	412.022141624938	442.812536785785
ABCC11	1.04957901271133	4.33846569134578	1.88183554000899	0	2.5332341763335	2.28365425181561	6.61636576856582	11.3590064107126	4.41708266120484
ABCC12	4.19831605084533	1.08461642283644	0.940917770004496	0.982648616641976	0.844411392111168	1.14182712590781	0	0	0
ABCC13	0	0	0	0	0	0	0	0	0
ABCC2	342.162758143895	356.83880311319	493.981829252361	532.595550219951	614.73149345693	1198.9184822032	658.328393972299	1086.33406764269	1544.87466075639
ABCC3	89.2142160804633	97.61547805528	133.610323340638	91.3863213477037	80.219082250561	183.834167271157	62.8554748013753	60.9255798392766	135.825291832049
ABCC4	815.522892876706	1080.2779571451	974.790809724658	1007.21483205803	1194.8421198373	1308.53388629035	377.132848808252	457.458167267788	662.562399180726
ABCC5	453.418133491296	416.492706369195	418.708407652001	457.914255355161	436.560689721474	343.68996489825	417.658089140718	436.80542833922	392.016086181929
ABCC6	3.148737038134	4.33846569134578	5.64550662002698	2.94794584992593	2.5332341763335	6.85096275544684	20.6761430267682	16.5221911428547	19.8768719754218
ABCC6P1	0	6.50769853701867	0.940917770004496	0.982648616641976	3.37764556844467	2.28365425181561	0.827045721070728	1.03263694642842	3.31281199590363
ABCC6P2	1.04957901271133	6.50769853701867	1.88183554000899	2.94794584992593	4.22205696055584	2.28365425181561	2.48113716321218	5.16318473214208	5.52135332650605
ABCC8	1.04957901271133	2.16923284567289	0	5.89589169985185	0.844411392111168	2.28365425181561	2.48113716321218	2.06527389285683	1.10427066530121
ABCC9	0	1.08461642283644	0	0	0	1.14182712590781	0	0	0
ABCD1	318.022440851534	383.954213684101	498.686418102383	245.662154160494	397.71776568436	444.170751978137	369.689437318615	454.360256428503	514.590130030364
ABCD2	0	2.16923284567289	0	4.91324308320988	3.37764556844467	10.2764441331703	1.65409144214146	5.16318473214208	6.62562399180726
ABCD3	462.864344605698	411.069624255012	450.699611832154	560.109711485926	563.222398538149	577.76452570935	672.388171230502	583.439874732055	634.955632548196
